Songname,Filename
Asgore,Asgore_Stepper.mid
Axel f,Axel_f_Stepper.mid
Chrono Trigger Battle,Chrono_Trigger_Battle_Stepper.mid
Corridors of Time,Corridors_of_Time_Stepper.mid
FF7 Clouds Theme,FF7_Clouds_Theme_Stepper.mid
Final Fantasy VII Intro,Final_Fantasy_VII_Intro_Stepper.mid
Fooling Yourself,Fooling_Yourself_Stepper.mid
Man with a Machine Gun FF8,Man_with_a_Machine_Gun_FF8_Stepper.mid
One Piece,One_Piece_Stepper.mid
Star Wars Main Theme,Star_Wars_Main_Theme_Stepper.mid
Toto Africa,Toto_Africa_Stepper.mid
UnderTale Hopes and Dreams,UnderTale_Hopes_and_Dreams_Stepper.mid
